horse_id,horse_name,date,course,weather,race_number,race_name,num_horses,bracket_number,horse_number,odds,popularity,rank,jockey,weight_carried,surface,distance,track_condition,time,margin,passing_order,last_3f,horse_weight,weight_diff,winner_name,prize
2023102644,エンジェルギフト,2025/12/12,船橋,晴,1,カトレアデビュー(2歳),7,1,1,91.3,7.0,7,仲野光馬,54.0,ダ,1000.0,良,66.8,5.3,6-6,41.8,481.0,0.0,イニシエート,
2023104577,ゴッドブラウン,2025/11/06,船橋,曇,2,ユーカリデビュー(2歳),7,4,4,52.1,6.0,6,椿聡太,51.0,ダ,1000.0,稍,64.6,3.7,7-7,38.3,451.0,0.0,アトレーヴフェイス,
2023101980,ルミナスストーン,2026/04/03,船橋,晴,2,3歳九,11,4,4,13.2,5.0,6,和田譲治,54.0,ダ,1200.0,重,80.6,2.0,4-4-7,43.1,447.0,5.0,ジオパークムーン,
2023101980,ルミナスストーン,2026/03/13,船橋,曇,1,3歳未出走(未出走),8,7,7,26.7,6.0,3,所蛍,52.0,ダ,1200.0,良,80.1,1.5,2-2-2,40.3,442.0,-14.0,マリフェイス,50.0
2023101980,ルミナスストーン,2025/11/06,船橋,曇,2,ユーカリデビュー(2歳),7,1,1,69.9,7.0,7,山本大翔,51.0,ダ,1000.0,稍,65.3,4.4,5-6,40.4,456.0,0.0,アトレーヴフェイス,
2023103484,インキュナブラ,2025/12/11,船橋,晴,2,2歳29P,12,1,1,118.0,11.0,5,山本大翔,51.0,ダ,1200.0,良,78.1,1.7,9-9-8,39.7,386.0,-1.0,リュウノレガシー,20.0
2023103484,インキュナブラ,2025/11/07,船橋,晴,1,2歳29P,12,5,5,55.0,6.0,5,山本大翔,51.0,ダ,1200.0,良,80.2,2.5,11-12-10,41.0,387.0,-2.0,シャイニーライフ,20.0
2023103484,インキュナブラ,2025/10/03,船橋,曇,2,ローズデビュー(2歳),10,7,8,12.1,5.0,10,本田正重,54.0,ダ,1200.0,良,81.0,5.0,7-8-10,43.2,389.0,0.0,コールブラック,
2023103012,アンジェロピッコロ,2026/04/03,船橋,晴,1,3歳十,9,3,3,17.5,7.0,6,臼井健太,54.0,ダ,1200.0,重,80.8,1.2,2-2-2,42.7,433.0,-1.0,フィカスリラータ,
2023103012,アンジェロピッコロ,2026/03/11,船橋,晴,1,3歳九,11,6,7,39.3,7.0,9,所蛍,52.0,ダ,1200.0,良,80.4,3.4,10-11-10,41.1,434.0,11.0,ワンダージャーニー,
2023103012,アンジェロピッコロ,2025/10/02,船橋,晴,3,ローズデビュー(2歳),6,3,3,53.3,6.0,5,實川純一,54.0,ダ,1000.0,稍,65.2,3.9,4-4,40.4,423.0,0.0,ベストポジション,41.0
2023110021,フロムイエスタディ,2026/03/11,船橋,晴,1,3歳九,11,5,5,,,取,町田直希,56.0,ダ,1200.0,良,,,,,,,ワンダージャーニー,
2023110021,フロムイエスタディ,2026/02/13,船橋,晴,2,3歳十,9,8,8,9.2,3.0,4,町田直希,56.0,ダ,1200.0,良,79.2,0.6,6-4-4,40.6,488.0,-5.0,ワンダードリーム,30.0
2023110021,フロムイエスタディ,2026/01/23,船橋,晴,4,3歳八,12,2,2,59.4,7.0,8,町田直希,56.0,ダ,1200.0,良,79.7,2.0,9-9-10,40.4,493.0,-3.0,シーオブスターズ,
2023110021,フロムイエスタディ,2025/12/11,船橋,晴,1,2歳29P,11,7,8,152.9,9.0,5,町田直希,55.0,ダ,1200.0,良,79.7,1.8,10-5-5,40.7,496.0,13.0,アセレラドール,20.0
2023110021,フロムイエスタディ,2025/11/07,船橋,晴,2,2歳29P,12,6,8,155.3,9.0,11,藤本現暉,55.0,ダ,1200.0,良,80.6,4.2,11-12-11,41.0,483.0,4.0,プラウドブルーム,
2023110021,フロムイエスタディ,2025/10/03,船橋,曇,3,ローズデビュー(2歳),7,5,5,75.0,7.0,7,藤本現暉,54.0,ダ,1500.0,良,104.5,6.5,7-7-7-7,43.8,479.0,0.0,ナリスナ,
2023104815,ステレオカリー,2026/01/23,船橋,晴,2,3歳未出走(未出走),7,5,5,11.7,4.0,4,矢野貴之,51.0,ダ,1200.0,良,78.8,1.5,2-2-2,41.0,480.0,-2.0,トラペジウム,30.0
2023104815,ステレオカリー,2025/12/12,船橋,晴,1,カトレアデビュー(2歳),7,2,2,40.4,6.0,6,山本大翔,51.0,ダ,1000.0,良,66.0,4.5,5-5,41.2,482.0,0.0,イニシエート,
