horse_id,horse_name,date,course,weather,race_number,race_name,num_horses,bracket_number,horse_number,odds,popularity,rank,jockey,weight_carried,surface,distance,track_condition,time,margin,passing_order,last_3f,horse_weight,weight_diff,winner_name,prize
2018104891,アドマイヤハイジ,2026/04/27,水沢,曇,1,C2,10,8,10,98.1,7.0,9.0,山本政聡,54.0,ダ,850.0,良,55.4,2.4,8-9,38.4,416.0,-5.0,オーロプロサングエ,
2018104891,アドマイヤハイジ,2026/04/12,水沢,晴,4,C2八組,9,2,2,58.6,7.0,8.0,斉藤友香,50.0,ダ,1300.0,稍,86.4,3.9,8-8-8-8,40.6,421.0,5.0,アドマイヤアーデル,
2018104891,アドマイヤハイジ,2026/03/29,水沢,晴,4,C2八組,9,5,5,15.0,3.0,9.0,山本政聡,54.0,ダ,1300.0,稍,86.6,1.2,6-6-7-8,40.6,416.0,-3.0,テーオーカバリエ,
2018104891,アドマイヤハイジ,2026/03/16,水沢,曇,3,C2七組,8,4,4,10.0,4.0,8.0,斉藤友香,50.0,ダ,1400.0,良,96.0,3.5,4-4-6-6,43.2,419.0,2.0,キタノアルテミス,
2018104891,アドマイヤハイジ,2025/12/22,水沢,曇,3,C2七組,11,7,8,31.7,7.0,11.0,山本政聡,54.0,ダ,1300.0,不,83.7,1.5,6-7-9-10,38.6,417.0,-5.0,リースアンドリボン,
2018104891,アドマイヤハイジ,2025/12/09,水沢,晴,3,オッズパークAI予想(C2),10,5,5,43.2,6.0,8.0,山本政聡,54.0,ダ,1300.0,不,84.2,1.2,7-9-10-8,38.5,422.0,3.0,ブローヴェイス,
2018104891,アドマイヤハイジ,2025/11/25,水沢,曇,4,C2六組,11,7,8,39.1,5.0,6.0,山本政聡,54.0,ダ,1300.0,稍,85.1,1.1,6-8-10-5,40.0,419.0,-4.0,アストラン,
2018104891,アドマイヤハイジ,2025/11/11,盛岡,晴,5,C2五組,12,3,3,89.2,6.0,9.0,山本政聡,54.0,ダ,1200.0,稍,76.0,3.0,10-9,38.5,423.0,-7.0,シンボリライト,
2018104891,アドマイヤハイジ,2025/10/28,盛岡,小雨,1,C2四組,10,1,1,5.4,2.0,6.0,大坪慎,54.0,ダ,1400.0,稍,89.7,1.8,6-6,40.1,430.0,1.0,レトワールダムール,
2018104891,アドマイヤハイジ,2025/10/13,盛岡,晴,5,いわてくじ山形村短角(C2),9,8,8,11.3,2.0,3.0,山本政聡,54.0,ダ,1200.0,良,75.1,2.3,4-5,38.0,429.0,1.0,ショウナンナスカ,8.0
2018104891,アドマイヤハイジ,2025/09/30,水沢,晴,1,C2四組,12,4,4,27.5,6.0,3.0,山本政聡,54.0,ダ,1400.0,重,90.1,1.0,9-7-7-5,39.3,428.0,6.0,ヒマラヤベロス,8.0
2018104891,アドマイヤハイジ,2025/09/14,水沢,晴,4,C2八組,9,8,8,4.7,3.0,3.0,山本政聡,54.0,ダ,1300.0,重,83.4,0.5,4-5-4-4,38.6,422.0,-13.0,アトラクトボイス,8.0
2018104891,アドマイヤハイジ,2025/08/31,盛岡,晴,3,C2八組,9,2,2,50.0,7.0,5.0,山本政聡,54.0,ダ,1200.0,良,75.2,0.9,7-6,38.0,435.0,11.0,エンピリカルルール,2.8
2018104891,アドマイヤハイジ,2025/08/17,盛岡,曇,9,B2,10,1,1,30.5,8.0,5.0,山本政聡,54.0,芝,1700.0,良,108.4,1.3,6-7-7-7,36.7,424.0,-8.0,アルヴィア,4.2
2018104891,アドマイヤハイジ,2025/08/04,盛岡,晴,10,チャイナアスタ賞(B2),12,6,8,5.1,3.0,12.0,山本政聡,54.0,芝,1600.0,良,100.8,1.1,9-10-8-11,37.1,432.0,2.0,エイシンポリシー,
2018104891,アドマイヤハイジ,2025/07/13,盛岡,晴,8,C1二組,9,8,8,27.9,8.0,6.0,山本政聡,54.0,ダ,1600.0,良,101.9,1.1,5-5,38.8,430.0,4.0,コンジェラメント,
2018104891,アドマイヤハイジ,2025/06/22,水沢,曇,9,奥中山高原賞(B2),12,7,10,176.7,12.0,10.0,山本政聡,54.0,ダ,1400.0,良,90.9,2.0,10-8-9-10,40.0,426.0,-3.0,フスカル,
