horse_id,horse_name,date,course,weather,race_number,race_name,num_horses,bracket_number,horse_number,odds,popularity,rank,jockey,weight_carried,surface,distance,track_condition,time,margin,passing_order,last_3f,horse_weight,weight_diff,winner_name,prize
2020106108,スカイロック,2026/05/17,盛岡,晴,6.0,C2,9,2.0,2,16.2,5.0,6,岩本怜,56.0,ダ,1000.0,良,62.5,1.2,8-8,37.0,473.0,-3.0,デスロール,
2020106108,スカイロック,2026/05/04,盛岡,小雨,5.0,C2,9,4.0,4,8.4,5.0,4,岩本怜,56.0,ダ,1000.0,不,61.7,1.2,3-5,37.5,476.0,-12.0,アークエタニティ,5.6
2020106108,スカイロック,2026/04/19,水沢,晴,2.0,C2,9,3.0,3,2.9,2.0,4,木間塚龍,56.0,ダ,850.0,良,54.1,0.6,7-7,37.9,488.0,-12.0,ショウリュウテン,5.6
2020106108,スカイロック,2026/04/05,水沢,曇,3.0,C2九組,10,8.0,10,21.5,5.0,10,岩本怜,56.0,ダ,1300.0,不,86.4,4.6,4-5-6-10,41.7,500.0,24.0,ソランチャン,
2020106108,スカイロック,2025/09/29,水沢,曇,4.0,C2六組,10,4.0,4,13.8,6.0,9,関本玲花,54.0,ダ,1300.0,不,85.0,3.2,5-6-10-10,40.4,476.0,-8.0,メイショウユウモウ,
2020106108,スカイロック,2025/09/08,川崎,晴,4.0,ワラビー賞(C3),9,8.0,9,37.4,5.0,4,木間塚龍,56.0,ダ,900.0,稍,57.2,1.1,3-3,39.1,484.0,-1.0,アースメロディ,12.0
2020106108,スカイロック,2025/08/21,川崎,晴,2.0,クロカジキ賞(C3),11,8.0,10,48.5,10.0,8,達城龍次,56.0,ダ,900.0,良,57.2,1.5,4-7,39.4,485.0,-1.0,タノシサ,
2020106108,スカイロック,2025/08/05,川崎,晴,3.0,ヒラマサ賞(C3),9,3.0,3,27.3,6.0,4,木間塚龍,56.0,ダ,900.0,良,56.4,0.7,3-4,38.5,486.0,-5.0,ハナサキポプラ,12.0
2020106108,スカイロック,2025/07/08,川崎,晴,1.0,トビウオ賞(C3),12,6.0,7,8.7,4.0,5,達城龍次,56.0,ダ,900.0,良,56.5,0.8,9-11,38.0,491.0,5.0,グローリーシューズ,8.0
2020106108,スカイロック,2025/06/18,川崎,晴,1.0,雷神賞(C2),12,2.0,2,15.9,5.0,9,達城龍次,56.0,ダ,900.0,良,57.2,1.9,7-7,39.1,486.0,-1.0,ピオニエーレ,
