horse_id,horse_name,date,course,weather,race_number,race_name,num_horses,bracket_number,horse_number,odds,popularity,rank,jockey,weight_carried,surface,distance,track_condition,time,margin,passing_order,last_3f,horse_weight,weight_diff,winner_name,prize
2023107240,プラカーシャ,2026/03/02,川崎,曇,1.0,3歳8,10,1.0,1,7.0,3.0,2,岡村健司,54.0,ダ,1400.0,稍,93.7,0.5,4-3-3-1,41.9,458.0,-11.0,ブラックトルマリン,80.0
2023107240,プラカーシャ,2025/11/17,川崎,晴,3.0,2歳6,11,6.0,6,3.2,1.0,2,矢野貴之,54.0,ダ,1400.0,良,94.2,0.8,5-4-5-4,41.4,469.0,-9.0,マダムウィンディ,80.0
2023107240,プラカーシャ,2025/10/17,川崎,晴,2.0,スパーキングデビュー(2歳),7,2.0,2,1.5,1.0,5,矢野貴之,54.0,ダ,1400.0,重,95.8,3.0,5-5-5-6,42.5,478.0,0.0,アゲハシンワ,40.0
2023105441,ポポロン,2026/03/02,川崎,曇,1.0,3歳8,10,2.0,2,59.4,6.0,6,古岡勇樹,54.0,ダ,1400.0,稍,96.0,2.8,5-5-8-6,43.6,419.0,1.0,ブラックトルマリン,
2023105441,ポポロン,2026/02/06,川崎,晴,3.0,3歳5,12,8.0,12,17.4,4.0,8,古岡勇樹,54.0,ダ,1400.0,良,95.5,3.5,3-5-3-4,42.7,418.0,8.0,コタダブル,
2023105441,ポポロン,2026/01/01,川崎,晴,1.0,2026幕開け賞(3歳),11,2.0,2,13.4,4.0,4,佐野遥久,53.0,ダ,1400.0,稍,95.5,1.6,4-4-6-4,41.3,410.0,4.0,グラズヘイム,30.0
2023105441,ポポロン,2025/11/12,門別,晴,1.0,2歳未勝利(未勝利),12,7.0,9,13.0,4.0,9,阿部龍,55.0,ダ,1000.0,稍,64.1,2.0,12-9,38.1,406.0,0.0,フークシャイニー,
2023105441,ポポロン,2025/10/30,門別,晴,2.0,2歳未勝利(未勝利),6,6.0,6,1.7,1.0,4,石川倭,55.0,ダ,1000.0,稍,63.0,0.3,4-4,37.9,406.0,-4.0,シンパティア,7.0
2023105441,ポポロン,2025/10/15,門別,晴,5.0,オータムライト級カッ(未勝利)(2歳),12,7.0,9,6.8,2.0,2,落合玄太,55.0,ダ,1000.0,稍,63.4,0.0,8-4,37.7,410.0,-4.0,セイランマクフィ,14.0
2023105441,ポポロン,2025/10/01,門別,雨,2.0,2歳未勝利(未勝利),12,6.0,8,3.2,2.0,4,落合玄太,55.0,ダ,1000.0,良,63.8,0.3,7-5,38.5,414.0,10.0,ライトネス,7.0
2023105441,ポポロン,2025/08/21,門別,晴,4.0,JRA認定競走フレッ(新馬)(2歳),10,8.0,9,10.3,4.0,3,石川倭,55.0,ダ,1000.0,稍,64.5,1.0,8-7,37.7,404.0,0.0,モンバン,52.5
2023105441,ポポロン,2025/08/13,門別,晴,6.0,JRA認定競走フレッ(新馬)(2歳),7,1.0,1,,,取,亀井洋司,55.0,ダ,1200.0,良,,,,,,,ヘイルメリーラン,
2023109071,ローズピクチャー,2026/03/24,金沢,晴,5.0,BAOOへGO!賞(3歳),8,7.0,7,132.4,7.0,6,松戸政也,55.0,ダ,1400.0,稍,99.2,3.4,2-2-2-4,45.4,448.0,2.0,ライクシュガー,
2023109071,ローズピクチャー,2026/03/02,川崎,曇,1.0,3歳8,10,3.0,3,159.6,8.0,10,新原周馬,54.0,ダ,1400.0,稍,97.7,4.5,1-1-1-5,46.7,446.0,-4.0,ブラックトルマリン,
2023109071,ローズピクチャー,2026/02/06,川崎,晴,1.0,トルメンタ賞(3歳),12,8.0,12,45.0,8.0,9,中山遥人,52.0,ダ,900.0,良,58.0,2.1,4-7,40.2,450.0,2.0,アークオブライフ,
