date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,1,4,4,エアロノート,牡,3,57.0,山田義貴,93.2,,1,1.6,40.9,2-2-2-2,高知別府真司,425.0,-1.0,2023102534
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,2,5,5,カンタベリービーム,牡,3,57.0,永森大智,93.3,1/2,5,13.9,40.7,5-5-4,高知雑賀正光,459.0,1.0,2023101471
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,3,8,9,エスケーブラッド,牡,3,57.0,妹尾浩一,93.4,3/4,6,49.1,40.8,4-3-3-3,高知宮路洋一,434.0,3.0,2023104428
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,4,2,2,ハルウタ,牝,3,55.0,西森将司,93.6,1,7,54.6,41.6,1-1-1-1,高知別府真司,452.0,2.0,2023101981
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,5,6,6,アーユーリアル,牝,3,55.0,上田将司,94.0,2,8,58.2,40.3,9-9,高知国澤輝幸,447.0,-1.0,2023102055
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,6,3,3,スマートビガー,牡,3,57.0,岡遼太郎,94.1,1/2,2,3.6,41.0,8-7-7,高知中西達也,413.0,-1.0,2023102762
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,7,7,7,カナデルラーケン,牝,3,55.0,佐原秀泰,95.6,7,4,10.4,42.7,3-4-5-5,高知川野勇馬,396.0,-5.0,2023100481
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,8,1,1,ヴィルアヴァンセ,牡,3,57.0,多田羅誠,95.6,アタマ,9,131.7,42.5,7-6-6-6,高知那俄性哲,434.0,-2.0,2023101284
2026/04/11,高知,晴,1,3歳ー4,ダ,1400,不,9,9,8,8,チェタック,牡,3,57.0,山崎雅由,95.9,1.1/2,3,7.4,42.3,6-10,高知田中譲二,447.0,6.0,2023100296
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,1,7,7,スレイラー,牝,3,54.0,☆城野慈尚,90.9,,2,3.1,39.3,1-1-1,高知工藤真司,462.0,-7.0,2023102207
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,2,6,6,シデンイッセン,牡,3,57.0,佐原秀泰,91.5,3,6,24.6,39.3,6-6-2,高知川野勇馬,488.0,5.0,2023103739
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,3,3,3,ビラトリチャーム,牝,3,54.0,☆近藤翔月,91.6,1/2,4,8.6,39.7,3-3-3,高知東原己俊,438.0,-8.0,2023100491
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,4,5,5,ソックス,牡,3,57.0,宮川実,92.5,4,3,8.4,40.2,8-7-7,高知宮路洋一,426.0,-7.0,2023107431
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,5,8,9,グリエールキック,牝,3,55.0,多田羅誠,92.5,ハナ,7,32.6,40.5,4-4-4,高知工藤真司,470.0,-5.0,2023102049
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,6,1,1,ガディスビクトリア,牝,3,55.0,上田将司,93.0,2.1/2,1,1.9,40.7,5-5,高知平和人,478.0,0.0,2023104061
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,7,8,8,ユミッチラブ,牡,3,57.0,岡遼太郎,93.2,1,8,125.2,41.6,2-2-2-3,高知国澤輝幸,431.0,0.0,2023100499
2026/04/11,高知,晴,2,3歳ー3,ダ,1400,不,9,8,4,4,スノープリンス,牡,3,57.0,郷間勇太,93.7,2.1/2,5,10.5,41.5,6-5,高知別府真司,462.0,0.0,2023105770
