date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,1,4,4,スマートウェイン,牡,2,55.0,服部茂史,62.8,,1,2.9,37.6,6-6,北海道松本隆宏,460.0,2.0,2024100589
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,2,8,11,イコロ,牝,2,55.0,小野楓馬,63.2,2,7,9.9,38.9,2-2,北海道小野望,418.0,2.0,2024106811
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,3,2,2,ビッグヴィノルーフ,牝,2,55.0,黒澤愛斗,63.3,3/4,2,4.8,38.6,3-4,北海道米川昇,396.0,-4.0,2024101192
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,4,7,10,イケノミセスグリン,牝,2,55.0,桑村真明,63.5,1,3,6.2,39.2,1-1,北海道角川秀樹,394.0,-2.0,2024100103
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,5,5,5,アンビティオー,牡,2,54.0,☆阿岸潤一,63.5,アタマ,10,122.3,37.9,10-8,北海道五十嵐冬,478.0,6.0,2024105201
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,6,1,1,スターダストレディ,牝,2,55.0,落合玄太,63.8,1.1/2,6,9.2,38.2,8-7,北海道小国博行,416.0,2.0,2024108151
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,7,7,9,サザンザバロン,牡,2,54.0,☆近藤翔月,64.3,2.1/2,4,8.5,39.4,5-5,北海道川島洋人,440.0,4.0,2024102189
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,8,8,12,ドリームパラダイス,牝,2,55.0,井上瑛太,64.4,1/2,5,8.6,39.9,4-3,北海道斉藤正弘,446.0,14.0,2024107370
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,9,3,3,サージェントペパー,牡,2,55.0,石川倭,65.0,3,8,13.3,39.4,9-9,北海道石本孝博,454.0,-14.0,2024100538
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,10,6,8,ヴィーナスマインド,牝,2,55.0,宮内勇樹,65.1,1/2,9,87.6,39.1,11-10,北海道村上正和,422.0,2.0,2024101638
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,11,5,6,エスペランサヘーザ,牝,2,55.0,松井伸也,66.2,5,11,387.3,40.8,7-11,北海道柳澤好美,462.0,18.0,2024101368
2026/07/15,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,除外,6,7,アルバミオ,牝,2,55.0,岩橋勇二,,,,,,,北海道桧森邦夫,442.0,-6.0,2024105485
