date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,1,2,2,サラサゴーサイン,牡,3,57.0,井上瑛太,62.3,,1,3.2,37.7,1-1,北海道松本隆宏,436.0,6.0,2023102571
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,2,5,5,カセノフォルス,牡,3,57.0,桑村真明,62.9,3,2,3.5,38.2,3-2,北海道角川秀樹,474.0,4.0,2023101646
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,3,7,7,ポポロン,牝,3,55.0,落合玄太,63.4,2.1/2,3,3.8,38.2,4,北海道小国博行,420.0,1.0,2023105441
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,4,3,3,ミワクノホウショウ,牝,3,55.0,吉本隆記,64.2,4,4,4.1,39.2,4-3,北海道佐々木国,470.0,2.0,2023109009
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,5,4,4,グリース,牝,3,55.0,宮内勇樹,64.5,1.1/2,6,17.8,39.8,2,北海道桧森邦夫,414.0,10.0,2023103870
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,6,1,1,モーモーインディゴ,牡,3,57.0,岩橋勇二,65.1,3,7,75.3,37.9,,北海道佐藤英明,416.0,-1.0,2023100064
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,7,6,6,コンチムサシ,牡,3,57.0,小野楓馬,65.9,4,5,10.4,37.7,,北海道桧森邦夫,488.0,1.0,2023109047
2026/04/16,門別,晴,1,3歳条件 未勝利,ダ,1000,良,8,取消,8,8,グッドミミック,牡,3,57.0,黒澤愛斗,,,,,,,北海道山田和久,,,2023104760
2026/04/16,門別,晴,2,3歳以上 C4ー3,ダ,1700,良,10,1,7,7,ウィルミスチヴァス,牡,3,57.0,落合玄太,113.3,,1,2.6,40.6,2-2-2-1,北海道小国博行,480.0,26.0,2023104423
2026/04/16,門別,晴,2,3歳以上 C4ー3,ダ,1700,良,10,2,2,2,マナスカイ,牡,3,57.0,桑村真明,113.8,2.1/2,4,10.7,41.0,8-7-3,北海道桧森邦夫,482.0,-3.0,2023104268
2026/04/16,門別,晴,2,3歳以上 C4ー3,ダ,1700,良,10,3,8,10,クールカグラ,牝,4,52.0,▲小野俊斗,114.4,3,2,2.6,40.9,4-4-6,北海道田中淳司,490.0,4.0,2022102985
2026/04/16,門別,晴,2,3歳以上 C4ー3,ダ,1700,良,10,4,1,1,ベルケム,牡,3,57.0,亀井洋司,114.8,2,7,42.3,41.1,5-5-8-4,北海道佐々木国,440.0,5.0,2023104243
2026/04/16,門別,晴,2,3歳以上 C4ー3,ダ,1700,良,10,5,7,8,モーニングアジサイ,牝,3,55.0,宮内勇樹,115.0,1,9,137.5,41.5,3-3-5-3,北海道川島洋人,436.0,-9.0,2023102322
