date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,1,3,3,プレイフルネス,牝,5,54.0,山本聡紀,52.4,,2,4.8,37.3,1-1,岩手三野宮通,425.0,-3.0,2021107141
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,2,6,6,コルレーニョ,牝,4,54.0,佐々木志,52.5,1/2,6,10.1,37.2,3-3,岩手佐藤祐司,414.0,-3.0,2022100869
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,3,8,9,ギフテッドアベリア,牝,4,54.0,山本政聡,52.6,3/4,1,1.9,36.8,6-4,岩手橘友和,489.0,3.0,2022100793
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,4,8,10,リスクテイカー,牝,6,54.0,小林凌,52.7,3/4,3,6.9,37.2,5-6,岩手小林俊彦,466.0,3.0,2020101804
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,5,5,5,キャリーアドリーム,牝,6,54.0,岩本怜,52.8,1/2,4,8.7,37.6,2-2,岩手三野宮通,409.0,2.0,2020106889
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,6,7,8,レーニス,牝,4,54.0,山本聡哉,53.2,2.1/2,5,9.8,37.8,4-5,岩手関本浩司,435.0,-2.0,2022109114
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,7,2,2,ポンドレイディ,牝,5,54.0,菅原辰徳,53.4,1,7,23.0,37.5,8,岩手菅原右吉,421.0,-1.0,2021102940
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,8,1,1,フークレグルス,牡,6,56.0,塚本涼人,53.6,3/4,9,75.2,38.0,7,岩手関本浩司,528.0,1.0,2020104815
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,9,7,7,ニシノブライアント,牡,8,54.0,△坂井瑛音,53.6,クビ,8,72.6,37.3,,岩手三野宮通,489.0,-4.0,2018102836
2026/04/13,水沢,晴,1,C2,ダ,850,稍,10,10,4,4,ダイナミックス,牝,5,52.0,関本玲花,53.6,アタマ,10,82.5,36.7,,岩手橘友和,427.0,5.0,2021105282
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,1,4,4,ゴープラチナム,牝,9,54.0,村上忍,51.9,,1,1.3,36.7,1,岩手村上実,443.0,-1.0,2017103286
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,2,8,10,ダンストンローザ,牝,4,54.0,塚本涼人,52.3,2.1/2,7,42.1,36.9,3-3,岩手小林俊彦,443.0,0.0,2022107176
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,3,1,1,ヒガシブレーヴ,牡,9,56.0,小林凌,52.3,クビ,3,10.9,36.7,4,岩手永田幸宏,416.0,-4.0,2017106670
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,4,2,2,ネオアンコーラ,牡,7,56.0,菅原辰徳,52.6,1.1/2,4,13.8,37.0,5-4,岩手瀬戸幸一,491.0,1.0,2019105999
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,5,7,8,フォルテース,牡,6,56.0,山本政聡,52.7,クビ,2,4.7,37.4,2-2,岩手斉藤雄一,471.0,-4.0,2020105895
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,6,7,7,タップアンクラップ,牡,4,54.0,関本玲花,52.7,クビ,9,119.4,36.7,7,岩手橘友和,445.0,-1.0,2022106303
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,7,3,3,トモセンスイ,牝,4,54.0,南郷家全,53.1,2.1/2,5,20.6,36.8,9,岩手櫻田浩樹,407.0,-3.0,2022100079
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,8,8,9,ロイエ,牝,5,54.0,岩本怜,53.5,2.1/2,8,63.1,37.5,8,岩手永田幸宏,457.0,7.0,2021106374
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,9,5,5,アグリオ,牝,5,52.0,△坂井瑛音,53.6,3/4,10,164.1,37.3,,岩手三野宮通,405.0,6.0,2021102169
2026/04/13,水沢,晴,2,C2,ダ,850,稍,10,10,6,6,ノースショアガール,牝,7,54.0,山本聡紀,55.8,大,6,34.4,38.6,,岩手吉田司,480.0,-14.0,2019105758
2026/04/13,水沢,晴,3,C2七組,ダ,1400,稍,8,1,7,7,クレーンパーディタ,牝,5,54.0,塚本涼人,90.6,,7,9.5,40.3,2-2-2-1,岩手酒井仁,450.0,3.0,2021100399
2026/04/13,水沢,晴,3,C2七組,ダ,1400,稍,8,2,1,1,アレグロコンブリオ,牡,4,56.0,山本聡紀,90.8,1,1,3.4,38.8,7-7-7-5,岩手菅原右吉,456.0,-1.0,2022101452
2026/04/13,水沢,晴,3,C2七組,ダ,1400,稍,8,3,8,8,アルデムラータ,牝,4,54.0,高橋悠里,91.0,1.1/2,3,4.3,39.8,4-4,岩手佐藤敏彦,412.0,0.0,2022100218
