date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,1,3,3,ミスターキレット,牡,2,55.0,石川倭,63.0,,1,1.5,38.0,5-3,北海道米川昇,460.0,0.0,2024101194
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,2,7,9,ブロンドナイト,牡,2,55.0,井上瑛太,63.5,2.1/2,3,4.9,38.2,8-5,北海道五十嵐冬,414.0,-6.0,2024103362
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,3,4,4,マカイエンセ,牝,2,55.0,岩橋勇二,63.6,1/2,2,4.6,39.5,1,北海道田中淳司,456.0,-2.0,2024105165
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,4,7,10,タルシェクーン,牡,2,54.0,☆阿岸潤一,63.9,1.1/2,6,54.7,38.3,11-8,北海道山田和久,402.0,2.0,2024109071
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,5,5,6,オリコウブロアム,牡,2,55.0,落合玄太,64.0,クビ,5,25.7,39.2,4-2,北海道小国博行,446.0,-6.0,2024103662
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,6,8,12,ラディアントレイ,牝,2,55.0,小野楓馬,64.2,1,8,119.9,38.9,10-6,北海道小野望,458.0,10.0,2024105159
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,7,5,5,タケノクイーン,牝,2,55.0,宮内勇樹,64.2,ハナ,11,348.6,38.6,9-7,北海道川島洋人,426.0,-6.0,2024104415
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,8,1,1,カンヒザクラ,牝,2,54.0,☆近藤翔月,64.3,1/2,9,261.5,39.9,2,北海道川島雅人,430.0,-2.0,2024108073
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,9,2,2,ナインファースト,牝,2,55.0,桑村真明,64.5,1,4,10.3,39.9,3,北海道柳澤好美,448.0,-6.0,2024103106
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,10,6,7,イゼルトヴァルト,牝,2,55.0,服部茂史,64.8,1.1/2,7,104.1,39.8,6-4,北海道斉藤正弘,430.0,4.0,2024103214
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,11,6,8,ラルテフテフ,牝,2,55.0,黒澤愛斗,65.1,1.1/2,12,450.8,39.5,7-10,北海道森山雄大,406.0,-10.0,2024103283
2026/07/14,門別,曇,1,2歳 未勝利,ダ,1000,稍,12,12,8,11,マナラーヒキ,牡,2,55.0,阿部龍,65.2,3/4,10,278.2,39.6,12-9,北海道桧森邦夫,478.0,10.0,2024108077
2026/07/14,門別,雨,2,2歳牝馬 未勝利,ダ,1100,稍,10,1,8,10,トラデスカンティア,牝,2,55.0,落合玄太,69.8,,1,2.3,39.0,2-2,北海道松本隆宏,436.0,-2.0,2024101160
2026/07/14,門別,雨,2,2歳牝馬 未勝利,ダ,1100,稍,10,2,2,2,フレイムフローラ,牝,2,55.0,桑村真明,70.0,1,2,3.2,38.9,3-3,北海道角川秀樹,420.0,2.0,2024100405
2026/07/14,門別,雨,2,2歳牝馬 未勝利,ダ,1100,稍,10,3,7,7,アニマジェミナ,牝,2,55.0,石川倭,70.1,クビ,4,7.6,38.3,10-6,北海道米川昇,480.0,0.0,2024107107
2026/07/14,門別,雨,2,2歳牝馬 未勝利,ダ,1100,稍,10,4,5,5,レギュム,牝,2,55.0,阿部龍,70.2,クビ,3,3.9,38.7,6-4,北海道村上正和,438.0,-2.0,2024108171
2026/07/14,門別,雨,2,2歳牝馬 未勝利,ダ,1100,稍,10,5,7,8,カームリン,牝,2,55.0,小野楓馬,70.2,ハナ,5,19.6,39.6,1-1,北海道斉藤正弘,434.0,10.0,2024107298
