date,course,weather,race_number,race_name,surface,distance,track_condition,num_horses,rank,bracket_number,horse_number,horse_name,sex,age,weight_carried,jockey,time,margin,popularity,odds,last_3f,passing_order,stable,horse_weight,weight_diff,horse_id
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,1,1,1,トップダイヤ,セ,6,56.0,西啓太,120.8,2:00.8,1,1.0,40.5,2-2-2-2,大井橋本和馬,488,-1,2020106948
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,2,8,10,ドッチナンダイ,牡,4,56.0,野畑凌,120.9,2:00.9,5,32.3,40.6,1-1-1-1,大井澤佳宏,453,-3,2022109014
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,3,2,2,テンポルバート,牝,6,54.0,田中洸多,121.0,2:01.0,3,17.3,40.5,4-4-4-4,大井荒井朋弘,499,-3,2020109049
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,4,6,6,ガニュメデスレイ,牡,9,56.0,江里口裕,121.1,2:01.1,6,33.7,39.8,9-9-9-10,大井渡辺和雄,439,4,2017106649
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,5,3,3,ゴルデューク,牡,4,53.0,▲杉山海波,121.4,2:01.4,10,193.4,40.4,7-8-8-7,大井小野寺晋,464,-1,2022102111
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,6,7,7,ファインデイ,牝,5,54.0,吉井章,121.6,2:01.6,2,10.7,41.3,6-6-3-3,大井松浦裕之,463,-7,2021101392
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,7,4,4,カンタベリーバイク,牡,4,56.0,古岡勇樹,121.8,2:01.8,9,127.8,41.2,3-3-5-6,大井遠藤茂,474,8,2022105947
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,8,7,8,マハーギータ,牝,4,54.0,岡村健司,121.8,2:01.8,8,106.9,40.3,10-10-10-9,大井佐々木忠,425,-3,2022101700
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,9,5,5,ブライトゲイザー,牡,4,56.0,達城龍次,122.3,2:02.3,4,18.4,41.7,5-5-6-5,大井納谷和玖,494,-6,2022105540
2026/03/25,大井,雨,1,C3一,ダ,1800,良,10,10,8,9,ベッティーナ,牝,5,54.0,遠藤健太,122.8,2:02.8,7,67.3,42.0,8-7-7-8,大井遠藤茂,449,6,2021104766
